Inventory ID,Card Kind,Name,TCG Type,Stage / Trainer Subtype,HP,Quantity,Special / Rule Box,Visible Move / Effect 1,Visible Move / Effect 2,ID Confidence,Notes,Water/Psychic Deck Pool,Collector No.,Expansion,Set ID,Collector Source,Evolves From,Ability / Rule,Attack 1 Name,Attack 1 Cost,Attack 1 Damage,Attack 1 Effect,Attack 2 Name,Attack 2 Cost,Attack 2 Damage,Attack 2 Effect,Weakness,Resistance,Retreat Cost,Regulation Mark,Trainer / Other Text,Finish / Variant,Language,English Name,Catalog Provider,Catalog Set ID,Catalog Card ID,Printing Variant,Card Back Design,Printing Finish
23,Pokémon,Primeape,Fighting,Stage 1,110,1,,Corkscrew Punch — 50,,High,,,043/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/43/,Mankey,,Corkscrew Punch,C C,50,,,,,,Psychic ×2,,2,J,,,,,,,,,,
24,Pokémon,Cranidos,Fighting,Stage 1,100,1,,Push Down — 70,,High,,,044/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/44/,Antique Skull Fossil,,Push Down,F F,70,Switch out your opponent's Active Pokémon to the Bench. Your opponent chooses the new Active Pokémon.,,,,,Grass ×2,,2,J,,,,,,,,,,
25,Pokémon,Gloom,Grass,Stage 1,70,1,,Disperse Drool — 20,,High,,,002/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/2/,Oddish,,Disperse Drool,G,20,This attack also does 20 damage to each Benched Pokémon (both yours and your opponent's). Don't apply Weakness and Resistance for Benched Pokémon.,,,,,Fire ×2,,1,J,,,,,,,,,,
26,Pokémon,Jigglypuff,Colorless,Basic,70,1,,Ball Roll — 20×,,High,,,076/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/76/,,,Ball Roll,C,20×,Flip a coin until you get tails. This attack does 20 damage for each heads.,,,,,Fighting ×2,,1,J,,,,,,,,,,
27,Pokémon,Type: Null,Colorless,Basic,110,1,,Power Edge — 40,,High,,,069/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/69/,,,Power Edge,C C,40,,,,,,Fighting ×2,,2,J,,,,,,,,,,
28,Pokémon,Murkrow,Darkness,Basic,60,1,,Ambush — 10+,,High,,,057/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/57/,,,Ambush,D,10+,"Flip a coin. If heads, this attack does 20 more damage.",,,,,Lightning ×2,Fighting −30,1,J,,,,,,,,,,
29,Pokémon,Pikipek,Colorless,Basic,70,1,,Double Stab — 10×,,High,,,066/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/66/,,,Double Stab,C,10×,Flip 2 coins. This attack does 10 damage for each heads.,,,,,Lightning ×2,Fighting −30,1,J,,,,,,,,,,
30,Pokémon,Moltres,Fire,Basic,120,1,,Fighting Wings — 20+,,High,,,014/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/14/,,,Fighting Wings,R,20+,"If your opponent's Active Pokémon is a Pokémon ex, this attack does 90 more damage.",,,,,Lightning ×2,,1,J,,,,,,,,,,
31,Pokémon,Charmander,Fire,Basic,80,1,,Agile (Ability),Live Coal — 20,High,,,011/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/11/,,"Agile — If this Pokémon has no Energy attached, it has no Retreat Cost.",Live Coal,R,20,,,,,,Water ×2,,2,J,,,,,,,,,,
32,Pokémon,Heatran,Fire,Basic,140,1,,Singe,Lava Wall — 120,High,,,007/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/7/,,,Singe,R,,Your opponent's Active Pokémon is now Burned.,Lava Wall,R R C,120,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Burned Pokémon.",Water ×2,,4,J,,,,,,,,,,
33,Pokémon,Larvesta,Fire,Basic,80,1,,Live Coal — 20,,High,,,024/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/24/,,,Live Coal,R,20,,,,,,Water ×2,,3,F,,,,,,,,,,
34,Pokémon,Dhelmise,Psychic,Basic,140,1,,Vengeful Anchor — 30+,,High,,Yes,039/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/39/,,,Vengeful Anchor,P,30+,"If you have 4 or more Pokémon that have the Hide 'n' Sneak Ability in your discard pile, this attack does 140 more damage.",,,,,Darkness ×2,Fighting −30,3,J,,,,,,,,,,
35,Pokémon,Slowpoke,Psychic,Basic,70,1,,All-You-Can-Yeet,Headbutt — 20,High,,Yes,029/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/29/,,,All-You-Can-Yeet,P,,You may discard any number of cards from your hand.,Headbutt,C C,20,,Darkness ×2,Fighting −30,2,J,,,,,,,,,,
36,Pokémon,Shuppet,Psychic,Basic,50,1,,Hide 'n' Sneak (Ability),Hang Down — 10,High,,Yes,033/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/33/,,Hide 'n' Sneak — Prevent all effects of your opponent's Pokémon's attacks and Abilities done to this Pokémon. (Damage is not an effect.),Hang Down,P,10,,,,,,Darkness ×2,Fighting −30,1,J,,,,,,,,,,
37,Pokémon,Cresselia,Psychic,Basic,120,1,,Swelling Light,Aurora Beam — 90,High,,Yes,039/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/39/,,,Swelling Light,P,,"Search your deck for up to 2 Basic Psychic Energy cards and attach them to this Pokémon. Then, shuffle your deck.",Aurora Beam,P P C,90,,Darkness ×2,Fighting −30,1,J,,,,,,,,,,
38,Pokémon,Deoxys,Psychic,Basic,120,1,,Psyspear — 120,,High,,Yes,032/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/32/,,,Psyspear,P P P,120,"If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack also does 120 damage to 1 of your opponent's Benched Pokémon. Don't apply Weakness and Resistance for Benched Pokémon.",,,,,Darkness ×2,Fighting −30,2,J,,,,,,,,,,
39,Pokémon,Mega Diancie ex,Psychic,Basic,270,1,Mega Evolution Pokémon ex,Diamond Coat (Ability),Garland Ray — 120×,High,,Yes,041/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/41/,,Diamond Coat — This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,Garland Ray,P P,120×,"Discard up to 2 Energy cards from this Pokémon, and this attack does 120 damage for each card you discarded in this way.",,,,,Metal ×2,,1,J,"Mega Evolution ex rule — When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards.",,,,,,,,,
40,Pokémon,Jynx,Psychic,Basic,100,1,,Intense Kiss,Psy Bolt — 50,High,,Yes,032/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/32/,,,Intense Kiss,P,,"At the end of your opponent's next turn, discard the Defending Pokémon and all attached cards.",Psy Bolt,P C,50,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Darkness ×2,Fighting −30,1,J,,,,,,,,,,
41,Pokémon,Pawmi,Lightning,Basic,60,1,,Growl,Tiny Charge — 10,High,,,032/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/32/,,,Growl,L,,"During your opponent's next turn, attacks used by the Defending Pokémon do 30 less damage (before applying Weakness and Resistance).",Tiny Charge,L,10,,Fighting ×2,,1,J,,,,,,,,,,
42,Pokémon,Shinx,Lightning,Basic,60,1,,Rear Kick — 20,,High,,,039/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/39/,,,Rear Kick,L,20,,,,,,Fighting ×2,,1,F,,,,,,,,,,
43,Pokémon,Electrike,Lightning,Basic,70,3,,Collect,Tackle — 30,High,Three copies confirmed as the same regular printing (023/084).,,023/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/23/,,,Collect,L,,Draw a card.,Tackle,L L,30,,Fighting ×2,,1,J,,,,,,,,,,
44,Pokémon,Pincurchin,Lightning,Basic,80,1,,Call for Family,Continuous Tumble — 30+,High,,,056/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/56/,,,Call for Family,C,,"Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.",Continuous Tumble,L L,30+,Flip a coin until you get tails. This attack does 30 more damage for each heads.,Fighting ×2,,1,F,,,,,,,,,,
45,Pokémon,Silvally,Colorless,Stage 1,140,2,,Call a Buddy (Ability),Air Slash — 130,High,Two copies confirmed as the same printing (070/084) in the expanded face photos.,,070/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/70/,Type: Null,"Call a Buddy — Once during your turn, if you have no cards in your hand, you may use this Ability. Draw 3 cards.",Air Slash,C C C,130,Discard an Energy from this Pokémon.,,,,,Fighting ×2,,2,J,,,,,,,,,,
46,Pokémon,Wigglytuff,Colorless,Stage 1,120,1,,Round — 40×,Seismic Toss — 100,High,,,077/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/77/,Jigglypuff,,Round,C C,40×,This attack does 40 damage for each of your Pokémon in play that has the Round attack.,Seismic Toss,C C C,100,,Fighting ×2,,2,J,,,,,,,,,,
47,Pokémon,Ninetales,Fire,Stage 1,120,1,,Nine-Tailed Transfer,Will-O-Wisp — 70,High,,,009/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/9/,Vulpix,,Nine-Tailed Transfer,R,,Move all damage counters from 1 of your Benched Pokémon to your opponent's Active Pokémon.,Will-O-Wisp,R R,70,,Water ×2,,1,J,,,,,,,,,,
48,Pokémon,Ceruledge,Fire,Stage 1,140,1,,Infernal Slash — 220,,High,,,020/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/20/,Charcadet,,Infernal Slash,R,220,"Discard 4 Basic Fire Energy cards from your hand. If you can't discard 4 cards in this way, this attack does nothing.",,,,,Water ×2,,2,J,,,,,,,,,,
49,Pokémon,Slowbro,Psychic,Stage 1,130,1,,All Out — 50+,Zen Headbutt — 110,High,,Yes,030/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/30/,Slowpoke,,All Out,P,50+,"If you have no cards in your hand, this attack does 160 more damage.",Zen Headbutt,C C C,110,,Darkness ×2,Fighting −30,3,J,,,,,,,,,,
50,Pokémon,Alcremie,Psychic,Stage 1,90,1,,Sweet Circle — 20×,,High,,Yes,044/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/44/,Milcery,,Sweet Circle,P,20×,This attack does 20 damage for each of your Pokémon in play.,,,,,Metal ×2,,1,J,,,,,,,,,,
51,Pokémon,Exeggutor,Psychic,Stage 1,130,1,,Powerful Storm — 20×,Stampede — 100,High,,Yes,058/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/58/,Exeggcute,,Powerful Storm,P,20×,This attack does 20 damage for each Energy attached to all of your Pokémon.,Stampede,P C C,100,,Darkness ×2,Fighting −30,2,F,,,,,,,,,,
52,Pokémon,Banette,Psychic,Stage 1,80,1,,Hide 'n' Sneak (Ability),Puppet Pull — 80,High,,Yes,034/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/34/,Shuppet,Hide 'n' Sneak — Prevent all effects of your opponent's Pokémon's attacks and Abilities done to this Pokémon. (Damage is not an effect.),Puppet Pull,P,80,"You may search your deck for a card and put it into your hand. Then, shuffle your deck.",,,,,Darkness ×2,Fighting −30,1,J,,,,,,,,,,
53,Pokémon,Granbull,Psychic,Stage 1,130,1,,Bite — 50,Finishing Blow — 90+,High,,Yes,038/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/38/,Snubbull,,Bite,P C,50,,Finishing Blow,P P C,90+,"If your opponent's Active Pokémon already has any damage counters on it, this attack does 90 more damage.",Metal ×2,,2,J,,,,,,,,,,
54,Pokémon,Mega Slowbro ex,Psychic,Stage 1,330,1,Mega Evolution Pokémon ex,Shellnado Spin — 180,,High,,Yes,031/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/31/,Slowpoke,,Shellnado Spin,P P P,180,"During your opponent's next turn, if this Pokémon is damaged by an attack (even if this Pokémon is Knocked Out), place 12 damage counters on the Attacking Pokémon.",,,,,Darkness ×2,Fighting −30,3,J,"Mega Evolution ex rule — When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards.",,,,,,,,,
55,Pokémon,Manectric,Lightning,Stage 1,120,1,,Flashing Barrier — 50,Sonic Edge — 110,High,,,024/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/24/,Electrike,,Flashing Barrier,L L,50,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Evolution Pokémon.",Sonic Edge,L L L,110,This attack's damage isn't affected by any effects on your opponent's Active Pokémon.,Fighting ×2,,1,J,,,,,,,,,,
56,Pokémon,Luxio,Lightning,Stage 1,90,1,,Shorting Spark,Bite — 40,High,,,042/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/42/,Shinx,,Shorting Spark,L,,This attack does 90 damage to each of your opponent's Pokémon that has a Pokémon Tool attached. Don't apply Weakness and Resistance for Benched Pokémon.,Bite,L C,40,,Fighting ×2,,1,F,,,,,,,,,,
57,Pokémon,Goodra,Dragon,Stage 2,160,1,,Slimy Sliding (Ability),Dragon Pulse — 160,High,,,068/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/68/,Sliggoo,"Slimy Sliding — When your opponent's Active Pokémon retreats, your opponent flips a coin. If tails, Energy for its Retreat Cost is not discarded, and they don't switch Pokémon. The effect of Slimy Sliding doesn't stack.",Dragon Pulse,W P,160,Discard the top card of your deck.,,,,,,,3,J,,,,,,,,,,
58,Pokémon,Metang,Metal,Stage 1,100,1,,Metal Claw — 30,Guard Press — 70,High,,,060/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/60/,Beldum,,Metal Claw,M,30,,Guard Press,M M C,70,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",Fire ×2,Grass −30,2,J,,,,,,,,,,
59,Trainer,Gwynn,,Supporter,,1,,Card effect,,High,,Yes,078/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/78/,,,,,,,,,,,,,,J,"Discard up to 2 Pokémon that don't have a Rule Box from your hand, and draw 3 cards for each card you discarded in this way. (Pokémon ex, Pokémon V, etc. have Rule Boxes.)",,,,,,,,,
60,Trainer,Crushing Hammer,,Item,,1,,Card effect,,High,,Yes,105/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/105/,,,,,,,,,,,,,,J,"Flip a coin. If heads, discard an Energy from 1 of your opponent's Pokémon.",,,,,,,,,
61,Trainer,Jumbo Ice Cream,,Item,,1,,Card effect,,High,,Yes,091/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/91/,,,,,,,,,,,,,,J,Heal 80 damage from your Active Pokémon that has 3 or more Energy attached.,,,,,,,,,
62,Trainer,Antique Armor Fossil,,Item,60,1,,Card effect,,High,,Yes,072/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/72/,,"Protective Armor — As long as this Pokémon is in the Active Spot, all of your Pokémon take 10 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance).",,,,,,,,,,,,J,"Play this card as if it were a 60-HP Basic Colorless Pokémon. This card can't be affected by any Special Conditions and can't retreat. At any time during your turn, you may discard this card from play.",,,,,,,,,
63,Trainer,Dawn,,Supporter,,1,,Card effect,,High,,Yes,087/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/87/,,,,,,,,,,,,,,J,"Search your deck for a Basic Pokémon, a Stage 1 Pokémon, and a Stage 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,,,
64,Trainer,Philippe,,Supporter,,1,,Card effect,,High,,Yes,079/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/79/,,,,,,,,,,,,,,J,Attach up to 2 Basic Metal Energy cards from your discard pile to 1 of your Metal Pokémon.,,,,,,,,,
65,Trainer,Tremendous Bomb,,Pokémon Tool,,2,,Card effect,,High,Two copies confirmed as the same printing (082/084) in the expanded face photos.,Yes,082/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/82/,,,,,,,,,,,,,,J,"If the Pokémon this card is attached to isn't a Mega Evolution Pokémon ex in the Active Spot, and it takes 240 or more damage from an attack from your opponent's Mega Evolution Pokémon ex (even if this Pokémon is Knocked Out), place 12 damage counters on the Attacking Pokémon. If you placed any damage counters in this way, discard this card.",,,,,,,,,
66,Trainer,Firebreather,,Supporter,,1,,Card effect,,High,,Yes,089/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/89/,,,,,,,,,,,,,,J,"Search your deck for up to 7 Basic Fire Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,,,
67,Trainer,Rare Candy,,Item,,1,,Card effect,,High,,Yes,141/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/141/,,,,,,,,,,,,,,F,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn.",,,,,,,,,
68,Pokémon,Bulbasaur,Grass,Basic,80,1,,Bind Down — 10,,High,Factory-sealed Mega Evolution-stamped promotional variant.,,133/132,Mega Evolution,ME01,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me01/133/,,,Bind Down,G,10,"During your opponent's next turn, the Defending Pokémon can't retreat.",,,,,Fire ×2,,2,I,,Illustration Rare; factory sealed,,,,,,mega-evolution-stamped-promo,,
69,Pokémon,Abra,Psychic,Basic,30,1,,Psyshock — 10,,High,1999 Base Set Unlimited printing. Front shows visible play wear; condition tentatively Moderately Played pending a back-side check.,Yes,43/102,Base Set,BS,https://bulbapedia.bulbagarden.net/wiki/Abra_(Base_Set_43),,,Psyshock,P,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Psychic ×2,,0,,,Common,,,,,,unlimited,,non-holo
